200.0	13.088	0.4691	0
400.0	13.080	0.4691	0
600.0	13.054	0.4691	0
800.0	13.010	0.4691	0
1000.0	12.949	0.4691	0
1200.0	12.871	0.4691	0
1221.5	12.775	0.4691	0
1400.0	12.166	0.4691	1
1600.0	12.069	0.4691	1
1800.0	11.947	0.4691	1
2000.0	11.809	0.4691	1
2200.0	11.655	0.4691	1
2400.0	11.483	0.4691	1
2600.0	11.293	0.4691	1
2800.0	11.083	0.4691	1
3000.0	10.853	0.4691	1
3200.0	10.602	0.4691	1
3400.0	10.327	0.4691	1
3480.0	10.029	0.4691	1
3600.0	5.566	0.4954	2
3630.0	5.506	0.4954	2
3800.0	5.491	0.4954	2
4000.0	5.407	0.4954	2
4200.0	5.307	0.4954	2
4400.0	5.207	0.4954	2
4600.0	5.106	0.4954	2
4800.0	5.003	0.4954	2
5000.0	4.898	0.4954	2
5200.0	4.790	0.4954	2
5400.0	4.678	0.4954	2
5600.0	4.563	0.4954	2
5701.0	4.443	0.4954	2
5771.0	3.992	0.4954	3
5871.0	3.976	0.4954	3
5971.0	3.850	0.4954	3
6061.0	3.543	0.4954	3
6151.0	3.490	0.4954	3
6221.0	3.360	0.4954	3
6291.0	3.367	0.4954	3
6346.6	3.375	0.4954	3
6356.0	2.900	0.4956	4
6368.0	2.600	0.4956	4
6371.0	1.027	0.5525	5
6386.0	0.001	0.4991	6
